TM,Tm,H,VV,V,_Autumn,_Spring,_Summer,_Winter,aqi_level
33,24,72,4,12,0,1,0,0,1
34,24,72,4,11,0,1,0,0,1
34,26,66,4,10,0,1,0,0,1
33,25,69,4,11,0,1,0,0,1
34,25,69,4,13,0,1,0,0,1
34,25,72,3,11,0,1,0,0,2
34,25,70,4,13,0,1,0,0,1
33,26,70,4,10,0,1,0,0,1
34,27,71,4,12,0,1,0,0,2
34,25,69,4,12,0,1,0,0,2
34,26,68,4,11,0,1,0,0,1
33,28,68,5,14,0,1,0,0,1
34,28,72,4,14,0,1,0,0,1
34,28,74,4,14,0,1,0,0,1
34,28,70,4,15,0,1,0,0,2
35,28,70,4,12,0,0,1,0,2
34,25,75,3,12,0,0,1,0,2
33,25,79,3,15,0,0,1,0,1
30,24,92,2,13,0,0,1,0,1
33,28,74,4,19,0,0,1,0,2
33,28,74,3,14,0,0,1,0,2
33,27,73,3,15,0,0,1,0,2
32,24,80,3,11,0,0,1,0,1
32,26,77,3,13,0,0,1,0,2
33,27,77,3,14,0,0,1,0,2
29,22,88,2,18,0,0,1,0,1
31,25,81,2,21,0,0,1,0,2
32,26,80,2,16,0,0,1,0,2
32,23,79,4,15,0,0,1,0,1
30,25,87,3,15,0,0,1,0,1
28,22,93,2,10,0,0,1,0,2
29,25,89,2,13,0,0,1,0,2
27,22,94,1,10,0,0,1,0,1
28,22,95,1,10,0,0,1,0,1
30,27,86,2,19,0,0,1,0,3
29,26,88,2,23,0,0,1,0,3
29,25,92,1,25,0,0,1,0,3
31,26,83,2,20,0,0,1,0,3
30,25,86,2,20,0,0,1,0,3
30,25,85,2,20,0,0,1,0,3
31,26,81,3,18,0,0,1,0,2
29,26,83,2,18,0,0,1,0,2
29,26,84,2,19,0,0,1,0,3
31,27,80,2,20,0,0,1,0,2
31,27,82,2,20,0,0,1,0,2
31,27,81,3,18,0,0,1,0,2
30,26,83,2,18,0,0,1,0,2
30,26,81,3,18,0,0,1,0,2
30,26,81,3,18,0,0,1,0,2
29,26,84,3,19,0,0,1,0,2
29,23,86,2,20,0,0,1,0,2
30,24,83,3,21,0,0,1,0,3
29,22,85,2,20,0,0,1,0,2
29,24,85,2,19,0,0,1,0,3
28,24,89,2,16,0,0,1,0,2
29,24,82,2,19,0,0,1,0,2
29,23,85,2,15,0,0,1,0,1
30,25,84,2,12,0,0,1,0,2
30,25,79,4,17,0,0,1,0,1
31,24,74,4,11,1,0,0,0,1
38,26,60,2,9,1,0,0,0,3
36,24,52,3,7,1,0,0,0,3
38,23,49,3,7,1,0,0,0,3
34,22,69,3,9,1,0,0,0,2
35,24,69,2,8,1,0,0,0,3
34,25,76,2,8,1,0,0,0,3
36,22,53,3,10,1,0,0,0,3
37,25,45,3,8,1,0,0,0,2
37,22,48,3,9,1,0,0,0,3
35,20,44,3,10,1,0,0,0,2
36,21,52,3,10,1,0,0,0,2
36,22,46,3,9,1,0,0,0,2
36,24,58,4,11,1,0,0,0,2
36,22,39,3,9,1,0,0,0,2
36,20,49,2,7,1,0,0,0,4
36,23,53,3,8,1,0,0,0,3
32,20,57,2,6,1,0,0,0,3
32,20,69,2,7,1,0,0,0,3
35,21,52,3,8,1,0,0,0,3
35,20,46,2,8,1,0,0,0,3
34,21,49,2,7,1,0,0,0,3
35,21,51,2,8,1,0,0,0,3
34,20,42,2,9,1,0,0,0,3
33,19,40,2,8,0,0,0,1,3
33,19,47,2,6,0,0,0,1,3
33,20,51,2,7,0,0,0,1,3
32,19,47,3,7,0,0,0,1,3
33,18,47,2,7,0,0,0,1,3
30,17,49,2,8,0,0,0,1,3
32,17,41,3,13,0,0,0,1,2
32,20,35,2,17,0,0,0,1,2
32,22,37,2,15,0,0,0,1,3
31,16,50,3,8,0,0,0,1,2
32,19,52,2,7,0,0,0,1,3
29,17,36,3,9,0,0,0,1,3
31,12,29,3,12,0,0,0,1,2
32,14,39,2,7,0,0,0,1,3
31,14,44,2,6,0,0,0,1,4
32,14,44,2,5,0,0,0,1,4
32,14,37,3,8,0,0,0,1,3
32,16,37,2,7,0,0,0,1,3
30,13,49,2,5,0,0,0,1,3
29,14,54,2,7,0,0,0,1,4
33,15,46,2,6,0,0,0,1,3
32,19,42,2,9,0,0,0,1,3
35,16,49,2,7,0,0,0,1,4
34,17,53,2,6,0,0,0,1,4
28,13,37,3,13,0,0,0,1,3
29,13,41,3,13,0,0,0,1,2
29,18,41,3,13,0,0,0,1,3
30,15,43,3,9,0,0,0,1,2
30,16,46,3,7,0,0,0,1,3
28,16,50,2,7,0,0,0,1,3
31,17,50,2,6,0,0,0,1,3
27,17,57,4,12,0,0,0,1,2
24,13,43,3,12,0,0,0,1,2
29,11,34,3,10,0,0,0,1,3
34,19,44,3,10,0,0,0,1,3
32,19,52,3,10,0,0,0,1,2
31,17,53,3,9,0,0,0,1,2
32,16,41,3,7,0,0,0,1,2
31,18,69,2,8,0,0,0,1,3
29,20,72,3,11,0,0,0,1,2
